english_word,spanish_word,english_hint,spanish_hint
lady,dama,"Polite term for woman","Forma respetuosa de mujer"
war,guerra,"Armed conflict","Conflicto armado"
walk,paseo,"Move on foot","Moverse caminando"
reason,razón,"Cause or explanation","Motivo o explicación"
city,ciudad,"Large town","Gran área urbana"
town,pueblo,"Small city","Ciudad pequeña"
trust,confianza,"Belief in reliability","Creencia en alguien"
question,pregunta,"Inquiry for information","Solicitud de información"
office,oficina,"Workplace desk area","Lugar de trabajo administrativo"
half,mitad,"One of two equal parts","Una de dos partes iguales"
welcome,bienvenida,"Greeting for arrival","Saludo al llegar"
couple,pareja,"Two people together","Dos personas juntas"
hurry,prisa,"Need for speed","Necesidad de rapidez"
honey,cariño,"Sweet term of affection","Palabra afectuosa"
power,poder,"Ability to control","Capacidad de controlar"
bed,cama,"Furniture for sleeping","Mueble para dormir"
front,frente,"Opposite of back","Parte delantera"
answer,respuesta,"Reply to a question","Contestación a pregunta"
gun,pistola,"Handheld firearm","Arma de fuego corta"
line,línea,"Long narrow mark","Trazo largo"
team,equipo,"Group working together","Grupo que coopera"
news,noticias,"Current events report","Información reciente"
captain,capitán,"Leader of a team","Líder de equipo"
dog,perro,"Common pet animal","Mascota común"
food,comida,"Something to eat","Algo para comer"
light,luz,"What lamps produce","Lo que produce una lámpara"
order,orden,"Command or arrangement","Mandato o disposición"
country,país,"Nation state","Nación independiente"
fact,hecho,"Something proven true","Algo comprobado"
boss,jefe,"Person in charge","Persona que dirige"
book,libro,"Collection of pages","Conjunto de páginas"
hour,hora,"60 minutes","Periodo de 60 minutos"
uncle,tío,"Parent's brother","Hermano de un padre"
company,empresa,"Business organization","Organización comercial"
past,pasado,"Time already gone","Tiempo anterior"
sound,sonido,"What ears hear","Lo que oyen los oídos"
hair,pelo,"Grows on the head","Crece en la cabeza"
human,ser humano,"Member of our species","Miembro de la humanidad"
luck,suerte,"Good fortune","Fortuna favorable"
top,cima,"Highest point","Punto más alto"
win,victoria,"Success in competition","Éxito en competencia"
control,control,"Power to manage","Poder de manejar"
cold,frío,"Low temperature","Temperatura baja"
air,aire,"Gas we breathe","Gas que respiramos"
master,maestro,"Expert teacher","Profesor experto"
dance,baile,"Movement to music","Movimiento con música"
sex,sexo,"Biological category","Categoría biológica"
others,otros,"People besides oneself","Personas adicionales"
hospital,hospital,"Place for medical care","Lugar de atención médica"
street,calle,"Road in a city","Vía urbana"
murder,asesinato,"Intentional killing","Homicidio intencional"
lie,mentira,"False statement","Declaración falsa"
dream,sueño,"Images during sleep","Imágenes al dormir"
voice,voz,"Sound from speaking","Sonido al hablar"
sign,señal,"Indicator or symbol","Símbolo indicador"
quiet,silencio,"Absence of noise","Ausencia de ruido"
coffee,café,"Popular hot drink","Bebida caliente común"
date,cita,"Romantic meeting","Encuentro romántico"
secret,secreto,"Hidden information","Información oculta"
fault,culpa,"Responsibility for wrong","Responsabilidad por error"
fall,caída,"Drop downward","Movimiento hacia abajo"
song,canción,"Musical piece with words","Pieza musical con letra"
calm,calma,"State of peace","Estado tranquilo"
road,camino,"Route for travel","Ruta para viajar"
drop,gota,"Small liquid bead","Pequeña cantidad líquida"
future,futuro,"Time yet to come","Tiempo que vendrá"
throw,lanzamiento,"Act of tossing something","Acción de arrojar algo"
step,paso,"Movement of the foot","Movimiento del pie"
piece,pieza,"Part of a whole","Parte de un conjunto"
picture,imagen,"Visual representation","Representación visual"
land,tierra,"Solid ground of Earth","Suelo del planeta"
wonder,maravilla,"Something amazing","Algo extraordinario"
worth,valor,"Monetary or moral value","Importancia o precio"
president,presidente,"Leader of a republic","Jefe de un país republicano"
eye,ojo,"Organ used for seeing","Órgano para ver"
dude,tipo,"Casual term for a man","Forma informal de hombre"
state,estado,"Political region","División política"
figure,figura,"Shape or form","Forma o silueta"
act,acto,"Deed or performance","Acción realizada"
law,ley,"Rule enforced by authority","Norma legal"
kiss,beso,"Touch of lips","Contacto de labios"
works,obras,"Creative productions","Producciones artísticas"
report,informe,"Official account","Documento informativo"
pain,dolor,"Physical suffering","Sufrimiento físico"
pass,pase,"Permit or successful move","Permiso o jugada"
wake,despertar,"Stop sleeping","Dejar de dormir"
general,general,"High military rank","Alto rango militar"
ship,barco,"Large sea vessel","Embarcación grande"
choice,elección,"Selection between options","Decisión entre opciones"
class,clase,"Group of students","Grupo escolar"
officer,oficial,"Person with authority","Persona con rango"
mistake,error,"Incorrect action","Acción equivocada"
chief,jefe,"Leader of a group","Persona que dirige"
age,edad,"Years lived","Años de vida"
mouth,boca,"Opening for eating","Abertura para comer"
finish,finalización,"Completion of something","Conclusión de algo"
clothes,ropa,"Garments worn","Prendas para vestir"
ride,paseo,"Trip for enjoyment","Viaje corto recreativo"
birthday,cumpleaños,"Annual birth celebration","Celebración del nacimiento"
dark,oscuridad,"Absence of light","Falta de luz"
system,sistema,"Organized structure","Conjunto organizado"
film,película,"Motion picture","Producción cinematográfica"
court,tribunal,"Place for legal trials","Lugar de juicios"
movie,película,"Cinema production","Obra de cine"
month,mes,"About 30 days","Periodo mensual"
wear,uso,"Act of using clothing","Acción de llevar ropa"
train,tren,"Rail transport","Transporte ferroviario"
hotel,hotel,"Place for travelers to stay","Lugar para hospedarse"
evidence,evidencia,"Proof in a case","Prueba en juicio"
security,seguridad,"Protection from danger","Protección contra riesgos"
information,información,"Knowledge or facts","Datos o conocimiento"
bag,bolsa,"Container for carrying","Objeto para guardar cosas"
attack,ataque,"Violent strike","Acción agresiva"
round,ronda,"Complete cycle","Vuelta completa"
blue,azul,"Color of the sky","Color del cielo"
station,estación,"Transport stop","Parada de transporte"
table,mesa,"Furniture for eating","Mueble para comer"
message,mensaje,"Communication sent","Comunicación enviada"
history,historia,"Record of past events","Relato del pasado"
fool,tonto,"Person lacking sense","Persona poco inteligente"
buddy,amigo,"Close companion","Compañero cercano"
floor,suelo,"Bottom surface of a room","Superficie interior"
sun,sol,"Star of our solar system","Estrella del sistema solar"
handle,mango,"Part used to hold","Parte para agarrar"
army,ejército,"National military force","Fuerza militar"
marriage,matrimonio,"Legal union","Unión legal"
letter,carta,"Written message","Mensaje escrito"
attention,atención,"Focused awareness","Concentración mental"
peace,paz,"Absence of war","Falta de conflicto"
situation,situación,"Set of circumstances","Estado de cosas"
middle,medio,"Center point","Punto central"
rock,roca,"Hard natural stone","Piedra dura"
test,prueba,"Examination or trial","Examen o ensayo"
lead,liderazgo,"Guidance of others","Dirección de un grupo"
club,club,"Social organization","Asociación social"
fear,miedo,"Feeling of danger","Sensación de peligro"
present,regalo,"Gift given","Objeto dado"
idiot,idiota,"Very foolish person","Persona muy tonta"
box,caja,"Container with sides","Recipiente cuadrado"
ball,pelota,"Round sports object","Objeto redondo deportivo"
group,grupo,"Collection of people","Conjunto de personas"
boat,barco,"Small vessel","Embarcación pequeña"
count,conteo,"Act of numbering","Acción de contar"
crime,crimen,"Serious offense","Delito grave"
key,llave,"Tool for locks","Objeto para abrir cerraduras"
force,fuerza,"Physical power","Potencia física"
horse,caballo,"Large riding animal","Animal para montar"
lunch,almuerzo,"Midday meal","Comida del mediodía"
american,americano,"Person from the USA","Persona de EE. UU."
paper,papel,"Material for writing","Material para escribir"
charge,cargo,"Formal responsibility","Responsabilidad oficial"
surprise,sorpresa,"Unexpected event","Hecho inesperado"
space,espacio,"Area or cosmos","Lugar amplio"
honor,honor,"High respect","Gran respeto"
accident,accidente,"Unexpected mishap","Suceso imprevisto"
fish,pez,"Animal that swims","Animal acuático"
bar,bar,"Place serving drinks","Lugar de bebidas"
ground,suelo,"Earth surface","Superficie terrestre"
government,gobierno,"Political authority","Autoridad política"
bank,banco,"Money institution","Institución financiera"
cover,cubierta,"Protective layer","Capa protectora"
major,mayor,"High rank officer","Oficial de alto rango"
hide,escondite,"Place to conceal","Lugar para ocultarse"
stick,palo,"Long thin wood","Trozo largo de madera"
sea,mar,"Large salt water body","Gran masa de agua"
tea,té,"Hot leaf drink","Bebida caliente de hojas"
area,área,"Defined region","Región definida"
dress,vestido,"Woman's garment","Prenda femenina"
service,servicio,"Helpful work","Trabajo de ayuda"
trip,viaje,"Journey somewhere","Desplazamiento a un lugar"
radio,radio,"Audio broadcast device","Dispositivo de sonido"
star,estrella,"Bright object in sky","Objeto brillante del cielo"
record,récord,"Best performance","Marca superior"
offer,oferta,"Proposal to give","Propuesta de dar"
prison,prisión,"Place for criminals","Lugar para reclusos"
soul,alma,"Spiritual essence","Esencia espiritual"
list,lista,"Series of items","Serie de elementos"
gold,oro,"Precious yellow metal","Metal precioso amarillo"
afternoon,tarde,"Time after noon","Tiempo después del mediodía"
agent,agente,"Representative worker","Representante profesional"
detective,detective,"Crime investigator","Investigador policial"
respect,respeto,"High regard","Consideración profunda"
public,público,"Open to everyone","Accesible a todos"
girlfriend,novia,"Female romantic partner","Pareja femenina"
drunk,borracho,"Intoxicated person","Persona ebria"
brain,cerebro,"Organ of thought","Órgano del pensamiento"
cell,célula,"Basic biological unit","Unidad biológica básica"
mess,desorden,"Untidy situation","Situación caótica"
smell,olor,"Sense of scent","Percepción por la nariz"
fly,mosca,"Small buzzing insect","Insecto pequeño"
killer,asesino,"One who kills","Persona que mata"
scene,escena,"Place of action","Lugar de acción"
card,tarjeta,"Small flat card","Cartulina pequeña"
english,inglés,"Language of England","Idioma de Inglaterra"
church,iglesia,"Christian worship building","Edificio religioso"
ice,hielo,"Frozen water","Agua congelada"
window,ventana,"Opening with glass","Abertura con vidrio"
laugh,risa,"Sound of amusement","Sonido de diversión"
lieutenant,teniente,"Junior officer rank","Rango militar inferior"
cry,llanto,"Sound of sadness","Sonido de tristeza"
visit,visita,"Go see someone","Ir a ver a alguien"
seat,asiento,"Place to sit","Lugar para sentarse"
teacher,profesor/profesora,"Person who educates","Persona que enseña"
relationship,relación,"Connection between people","Vínculo entre personas"
pleasure,placer,"Feeling of enjoyment","Sensación agradable"
camera,cámara,"Device for photos","Dispositivo fotográfico"
college,colegio,"Higher education school","Institución educativa"
judge,juez,"Court decision maker","Autoridad judicial"
position,posición,"Location or rank","Lugar o rango"
boyfriend,novio,"Male romantic partner","Pareja masculina"
wall,pared,"Vertical structure","Estructura vertical"
stop,parada,"Place to halt","Lugar para detenerse"
art,arte,"Creative expression","Expresión creativa"
machine,máquina,"Mechanical device","Dispositivo mecánico"
green,verde,"Color of grass","Color de la hierba"
cop,policía,"Slang for officer","Forma informal de policía"
wine,vino,"Alcohol from grapes","Bebida de uva"
apartment,apartamento,"City dwelling","Vivienda urbana"
village,pueblo,"Small rural town","Pequeña comunidad"
congratulations,felicitaciones,"Praise for success","Expresión de alegría"
jail,cárcel,"Short-term prison","Lugar de detención"
joke,broma,"Funny remark","Comentario gracioso"
evil,mal,"Opposite of good","Opuesto de bien"
field,campo,"Open land","Terreno abierto"
contact,contacto,"Communication link","Conexión entre personas"
store,tienda,"Place selling goods","Lugar de ventas"
doubt,duda,"Uncertainty","Falta de certeza"
plane,avión,"Flying vehicle","Vehículo aéreo"
cash,efectivo,"Physical money","Dinero en billetes"
island,isla,"Land surrounded by water","Tierra rodeada de agua"
decision,decisión,"Final choice","Elección final"
beer,cerveza,"Alcoholic grain drink","Bebida de cebada"
difference,diferencia,"Not the same","Distinción entre cosas"
push,empujón,"Forceful shove","Movimiento con fuerza"
south,sur,"Direction opposite north","Dirección opuesta al norte"
gift,regalo,"Present given","Objeto obsequiado"
glass,vaso,"Drinking container","Recipiente para beber"
tree,árbol,"Tall woody plant","Planta alta con tronco"
north,norte,"Opposite of south","Dirección contraria al sur"
bus,autobús,"Public road transport","Vehículo público"
victim,víctima,"Person harmed","Persona dañada"
computer,computadora,"Electronic calculating device","Máquina digital"
truck,camión,"Large cargo vehicle","Vehículo de carga"
reach,alcance,"Distance attainable","Distancia posible"
board,tablero,"Flat surface panel","Superficie plana"
planet,planeta,"Orbital celestial body","Cuerpo celeste"
search,búsqueda,"Act of looking","Acción de buscar"
wind,viento,"Moving air","Aire en movimiento"
arrest,arresto,"Police detention","Detención policial"
jump,salto,"Leap into the air","Movimiento hacia arriba"
support,apoyo,"Help or backing","Ayuda o respaldo"
magic,magia,"Supernatural illusion","Arte sobrenatural"
crap,mierda,"Vulgar term for nonsense","Palabra vulgar"
kitchen,cocina,"Room for cooking","Lugar para cocinar"
summer,verano,"Warmest season","Estación más cálida"
patient,paciente,"Person receiving care","Persona bajo atención médica"
aunt,tía,"Parent's sister","Hermana de un padre"
experience,experiencia,"Knowledge from events","Conocimiento vivido"
heaven,cielo,"Paradise above","Lugar celestial"
river,río,"Large flowing water","Corriente natural de agua"
knock,golpe,"Hit on a door","Impacto o toque"
escape,fuga,"Act of getting away","Acción de huir"
address,dirección,"Location details","Datos de ubicación"
foot,pie,"Lower body part","Parte inferior del cuerpo"
moon,luna,"Earth's satellite","Satélite de la Tierra"
mate,compañero/compañera,"Partner or teammate","Persona que acompaña"
match,partido,"Sports contest","Competencia deportiva"
final,final,"Last stage","Etapa última"
smoke,humo,"Result of burning","Gas de combustión"
blame,culpa,"Responsibility for fault","Responsabilidad por error"
press,prensa,"News media","Medios informativos"
smile,sonrisa,"Happy facial expression","Expresión de alegría"
type,tipo,"Category or kind","Clase o categoría"
mission,misión,"Important assignment","Encargo importante"
favor,favor,"Helpful act","Acto de ayuda"
action,acción,"Act or movement","Acto o movimiento"
duty,deber,"Moral obligation","Obligación moral"
price,precio,"Cost of something","Valor monetario"
guard,guardia,"Person who protects","Persona que vigila"
risk,riesgo,"Chance of harm","Posibilidad de peligro"
notice,aviso,"Public announcement","Comunicación pública"
enemy,enemigo/enemiga,"Opposing person","Persona contraria"
kick,patada,"Strike with the foot","Golpe con el pie"
race,carrera,"Speed competition","Competencia de velocidad"
suit,traje,"Formal clothing set","Conjunto elegante"
fit,ajuste,"Proper size","Medida adecuada"
director,director/directora,"Person who leads","Persona que dirige"
spot,lugar,"Exact place","Sitio específico"
cross,cruz,"Intersecting lines","Símbolo con líneas cruzadas"
arm,brazo,"Upper limb","Extremidad superior"
upstairs,arriba,"Higher floor","Piso superior"
chicken,pollo,"Farm bird","Ave de granja"
department,departamento,"Division of an organization","Sección de una organización"
hero,héroe,"Brave admired person","Persona valiente"
gas,gas,"Airlike substance","Sustancia gaseosa"
sergeant,sargento,"Military rank","Rango militar"
low,bajo,"Opposite of high","Opuesto de alto"
leg,pierna,"Lower limb","Extremidad inferior"
taste,gusto,"Sense of flavor","Sentido del sabor"
waste,desperdicio,"Unused material","Material inútil"
west,oeste,"Direction of sunset","Dirección del atardecer"
bunch,grupo,"Collection of items","Conjunto de cosas"
battle,batalla,"Armed fight","Combate armado"
study,estudio,"Act of learning","Actividad académica"
mention,mención,"Brief reference","Referencia breve"
bell,campana,"Ringing metal object","Objeto que suena"
stage,escenario,"Theater platform","Plataforma teatral"
hole,agujero,"Opening in surface","Abertura en superficie"
lock,cerradura,"Door fastener","Mecanismo de puerta"
weapon,arma,"Tool for fighting","Instrumento de combate"
energy,energía,"Power for action","Fuerza para actuar"
treat,trato,"Way of dealing","Forma de tratar"
burn,quemadura,"Injury from heat","Lesión por calor"
form,forma,"Shape or structure","Figura o estructura"
sky,cielo,"Space above Earth","Espacio sobre la Tierra"
breakfast,desayuno,"Morning meal","Comida de la mañana"
band,banda,"Music group","Grupo musical"
track,pista,"Racing path","Camino de carrera"
spirit,espíritu,"Inner essence","Esencia interior"
nose,nariz,"Organ for smelling","Órgano del olfato"
favorite,favorito/favorita,"Most liked item","Lo que más gusta"
memory,memoria,"Stored recollection","Recuerdo guardado"
laughter,risa,"Sound of amusement","Sonido de alegría"
roll,rollo,"Cylinder shape","Forma cilíndrica"
witness,testigo,"Person who saw event","Persona que observó"
double,doble,"Twice as much","Cantidad duplicada"
bathroom,baño,"Room with toilet","Cuarto sanitario"
build,construcción,"Act of making structure","Acción de construir"
bomb,bomba,"Explosive device","Dispositivo explosivo"
pressure,presión,"Force on surface","Fuerza aplicada"
flight,vuelo,"Air travel","Viaje por aire"
interest,interés,"Curiosity or benefit","Atención o beneficio"
throat,garganta,"Front neck passage","Parte del cuello"
cost,costo,"Amount paid","Cantidad pagada"
danger,peligro,"Risk of harm","Riesgo de daño"
neck,cuello,"Part connecting head","Parte que une cabeza"
bottle,botella,"Liquid container","Recipiente de líquido"
beauty,belleza,"Quality of attractiveness","Cualidad estética"
nature,naturaleza,"Natural world","Mundo natural"
video,vídeo,"Recorded moving images","Imágenes grabadas"
rain,lluvia,"Water from clouds","Agua que cae"
camp,campamento,"Temporary outdoor site","Lugar temporal"
shame,vergüenza,"Feeling of embarrassment","Sentimiento de pena"
driver,conductor/conductora,"Person operating vehicle","Persona que maneja"
bird,pájaro,"Animal with wings","Animal que vuela"
crowd,multitud,"Large group of people","Gran grupo"
level,nivel,"Height or rank","Altura o categoría"
faith,fe,"Strong belief","Creencia profunda"
commander,comandante,"Military leader","Líder militar"
client,cliente,"Customer of services","Persona que compra"
engine,motor,"Machine producing power","Máquina que genera energía"
animal,animal,"Living creature","Ser vivo"
devil,diablo,"Evil spirit","Espíritu maligno"
weekend,fin de semana,"Saturday and Sunday","Días de descanso"
stone,piedra,"Hard natural mineral","Material mineral"
skin,piel,"Outer body layer","Capa externa del cuerpo"
knife,cuchillo,"Sharp cutting tool","Herramienta para cortar"
drug,droga,"Chemical substance","Sustancia química"
beach,playa,"Sandy shore","Orilla del mar"
hat,sombrero,"Head covering","Prenda para cabeza"
code,código,"System of symbols","Sistema de símbolos"
hall,sala,"Large room","Habitación amplia"
opportunity,oportunidad,"Chance to act","Posibilidad favorable"
corner,esquina,"Meeting of streets","Intersección de calles"
cup,taza,"Small drinking vessel","Recipiente para beber"
justice,justicia,"Fair legal principle","Principio legal justo"
bottom,fondo,"Lowest part","Parte inferior"
ghost,fantasma,"Spirit of dead","Aparición sobrenatural"
restaurant,restaurante,"Place to eat out","Lugar para comer"
language,lenguaje,"System of communication","Sistema de comunicación"
east,este,"Direction of sunrise","Dirección del amanecer"
note,nota,"Short written message","Mensaje breve"
leader,líder,"Person guiding others","Persona que guía"
health,salud,"State of well-being","Estado físico"
angel,ángel,"Heavenly messenger","Ser celestial"
rule,regla,"Guiding principle","Norma establecida"
advice,consejo,"Guidance given","Sugerencia útil"
pardon,perdón,"Act of forgiving","Acción de disculpar"
milk,leche,"White dairy liquid","Líquido de vaca"
speed,velocidad,"Rate of motion","Rapidez de movimiento"
file,archivo,"Stored documents","Colección de documentos"
tape,cinta,"Thin strip material","Tira delgada"
practice,práctica,"Repeated exercise","Ejercicio repetido"
emergency,emergencia,"Urgent situation","Situación urgente"
bridge,puente,"Structure over water","Estructura para cruzar"
applause,aplauso,"Clapping approval","Palmas de aprobación"
conversation,conversación,"Talk between people","Diálogo entre personas"
account,cuenta,"Financial record","Registro financiero"
breath,aliento,"Air from lungs","Aire de pulmones"
crew,tripulación,"Team on vehicle","Equipo de transporte"
meat,carne,"Animal food","Producto animal"
cake,pastel,"Sweet baked dessert","Postre horneado"
strength,fuerza,"Physical power","Potencia física"
career,carrera,"Professional path","Trayectoria laboral"
sight,vista,"Sense of seeing","Sentido visual"
vote,voto,"Election choice","Elección electoral"
copy,copia,"Duplicate item","Duplicado"
student,estudiante,"Person studying","Persona que aprende"
trial,juicio,"Court proceeding","Proceso judicial"
freedom,libertad,"State of independence","Estado sin control"
market,mercado,"Place for trade","Lugar de comercio"
manager,gerente,"Person managing business","Persona que administra"
size,tamaño,"Measurement of scale","Medida de magnitud"
operation,operación,"Medical procedure","Procedimiento médico"
trick,truco,"Clever deception","Engaño ingenioso"
pack,paquete,"Bundle of items","Conjunto empaquetado"
monster,monstruo,"Scary creature","Criatura aterradora"
center,centro,"Middle point","Punto central"
travel,viaje,"Journey to places","Desplazamiento"
target,objetivo,"Intended goal","Meta deseada"
science,ciencia,"Study of nature","Estudio científico"
project,proyecto,"Planned work","Plan de trabajo"
feed,alimentación,"Act of giving food","Acción de nutrir"
credit,crédito,"Financial trust","Confianza financiera"
investigation,investigación,"Detailed inquiry","Examen detallado"
oil,aceite,"Liquid fat","Grasa líquida"
criminal,criminal,"Person committing crime","Persona delincuente"
soldier,soldado,"Army member","Miembro militar"
shirt,camisa,"Upper clothing","Prenda superior"
example,ejemplo,"Illustrating case","Caso ilustrativo"
strike,huelga,"Work stoppage protest","Paro laboral"
chair,silla,"Seat with back","Asiento con respaldo"
universe,universo,"All cosmic space","Todo el cosmos"
command,comando,"Authoritative order","Orden autoritaria"
condition,condición,"State or requirement","Estado o requisito"
challenge,desafío,"Difficult task","Reto difícil"
ticket,boleto,"Pass for entry","Documento de acceso"
view,vista,"What can be seen","Lo que se observa"
program,programa,"Planned schedule","Plan organizado"
brown,marrón,"Earth tone color","Color tierra"
wash,lavado,"Act of cleaning","Acción de limpiar"
society,sociedad,"Organized community of people","Comunidad organizada"
release,liberación,"Act of setting free","Acción de liberar"
birth,nacimiento,"Beginning of life","Inicio de la vida"
research,investigación,"Systematic study","Estudio detallado"
guest,invitado/invitada,"Person visiting","Persona que visita"
lift,ascensor,"Vertical transport in buildings","Transporte entre pisos"
opinion,opinión,"Personal belief","Idea personal"
character,carácter,"Personality trait","Rasgo de personalidad"
mountain,montaña,"Very tall natural elevation","Gran elevación natural"
heat,calor,"High temperature","Temperatura elevada"
tie,corbata,"Neck garment","Prenda del cuello"
sheriff,sheriff,"County law officer","Oficial de ley local"
color,color,"Hue or shade","Tono visible"
sword,espada,"Long bladed weapon","Arma larga"
lab,laboratorio,"Scientific workspace","Lugar de experimentos"
bullet,bala,"Projectile from a gun","Proyectil de arma"
proof,prueba,"Evidence or verification","Demostración de verdad"
base,base,"Supporting foundation","Fundamento de algo"
cream,crema,"Rich dairy layer","Capa grasa de leche"
noise,ruido,"Unwanted sound","Sonido molesto"
total,total,"Complete amount","Cantidad completa"
gang,pandilla,"Criminal group","Grupo delictivo"
happiness,felicidad,"State of joy","Estado de alegría"
joy,alegría,"Feeling of delight","Emoción de felicidad"
female,hembra,"Biological sex","Sexo biológico"
draw,sorteo,"Random selection","Selección al azar"
male,macho,"Opposite of female","Sexo masculino"
bite,mordisco,"Act of using teeth","Acción de morder"
shower,ducha,"Water spray bath","Baño con agua"
audience,audiencia,"Group watching performance","Personas que observan"
purpose,propósito,"Intended aim","Meta deseada"
fate,destino,"Predetermined future","Futuro inevitable"
screw,tornillo,"Threaded fastener","Pieza con rosca"
gentleman,caballero,"Polite man","Hombre educado"
medicine,medicina,"Substance for healing","Remedio médico"
responsibility,responsabilidad,"Duty or obligation","Obligación moral"
talk, charla,"Informal speech","Conversación breve"
split,división,"Act of separating","Acción de dividir"
weight,peso,"Measure of heaviness","Medida de masa"
unit,unidad,"Single item","Elemento individual"
pig,cerdo,"Farm animal","Animal de granja"
desk,escritorio,"Furniture for work","Mueble para escribir"
